Intermediate,2019-05,2019-05-int,11–12 May 2019,9,True,False,,Intermediate,2019-05 11–12 May 2019,1
Advanced,2019-06,2019-06-adv,08–09 Jun 2019,10,True,False,,Advanced,2019-06 08–09 Jun 2019,2
Beginner,2019-07,2019-07-beg,06–07 Jul 2019,18,True,False,,Beginner,2019-07 06–07 Jul 2019,3
Intermediate,2019-08,2019-08-int,10–11 Aug 2019,13,True,False,,Intermediate,2019-08 10–11 Aug 2019,4
Advanced,2019-09,2019-09-adv,07–08 Sep 2019,7,True,False,,Advanced,2019-09 07–08 Sep 2019,5
Beginner,2019-10,2019-10-beg,12–13 Oct 2019,20,True,False,,Beginner,2019-10 12–13 Oct 2019,6
Intermediate,2019-11,2019-11-int,09–10 Nov 2019,11,True,False,,Intermediate,2019-11 09–10 Nov 2019,7
MODSMO,2019-12,2019-12-modsmo,14–15 Dec 2019,11,True,False,,MODSMO,2019-12 14–15 Dec 2019,8
Beginner,2020-01,2020-01-beg,18–19 Jan 2020,19,True,False,,Beginner,2020-01 18–19 Jan 2020,9
Intermediate,2020-02,2020-02-int,08–09 Feb 2020,15,True,False,,Intermediate,2020-02 08–09 Feb 2020,10
Advanced,2020-03,2020-03-adv,14–15 Mar 2020,14,True,False,,Advanced,2020-03 14–15 Mar 2020,11
Beginner,2020-04,2020-04-beg,11–12 Apr 2020,35,True,False,,Beginner,2020-04 11–12 Apr 2020,12
Intermediate,2020-05,2020-05-int,09–10 May 2020,22,True,False,,Intermediate,2020-05 09–10 May 2020,13
GQMO Easy,Global Quarantine Mathematical Olympiad Easy,2020,GQMO-Easy,09–10 May 2020,2020-05 09–10 May 2020e,False,True,254,Organized by Swiss Maths Olympiad,14
GQMO Hard,Global Quarantine Mathematical Olympiad Hard,2020,GQMO-Hard,16–17 May 2020,2020-05 16,False,True,313,Organized by Swiss Maths Olympiad,15
Advanced,2020-06,2020-06-adv,13–14 Jun 2020,20,True,False,,Advanced,2020-06 13–14 Jun 2020,16
Beginner,2020-07,2020-07-beg,11–12 Jul 2020,28,True,False,,Beginner,2020-07 11–12 Jul 2020,17
Intermediate,2020-08,2020-08-int,08–09 Aug 2020,29,True,False,,Intermediate,2020-08 08–09 Aug 2020,18
Advanced,2020-09,2020-09-adv,12–13 Sep 2020,16,True,False,,Advanced,2020-09 12–13 Sep 2020,19
Modsmo-beg,2021-07,2021-07-modsmo-beg,03–04 Jul 2021,34,True,False,,Modsmo-beg,2021-07 03–04 Jul 2021,20
Modsmo-int,2021-07,2021-07-modsmo-int,03–04 Jul 2021,12,True,False,,Modsmo-int,2021-07 03–04 Jul 2021,21
Modsmo-adv,2021-07,2021-07-modsmo-adv,03–04 Jul 2021,9,True,False,,Modsmo-adv,2021-07 03–04 Jul 2021,22
